"County.Name","YearText","Birth_Defects_Per_10k"
"Coke",2016,NA
"Coleman",2016,NA
"Collin",2016,647
"Collingsworth",2016,0
"Colorado",2016,511.81
"Comal",2016,450.45
"Comanche",2016,NA
"Concho",2016,0
"Cooke",2016,358.36
"Coryell",2016,590.16
"Cottle",2016,NA
"Crane",2016,NA
"Crockett",2016,NA
"Crosby",2016,821.92
"Culberson",2016,NA
"Dallam",2016,411.76
"Dallas",2016,710.89
"Dawson",2016,564.97
"Deaf Smith",2016,538.92
"Delta",2016,NA
"Denton",2016,590.2
"DeWitt",2016,478.09
"Dickens",2016,NA
"Dimmit",2016,370.37
"Donley",2016,NA
"Duval",2016,743.24
"Eastland",2016,497.74
"Ector",2016,747.86
"Edwards",2016,NA
"El Paso",2016,499.08
"Ellis",2016,779.92
"Erath",2016,699.59
"Falls",2016,373.44
"Fannin",2016,536.19
"Fayette",2016,269.06
"Fisher",2016,NA
"Floyd",2016,769.23
"Foard",2016,NA
"Fort Bend",2016,620.23
"Franklin",2016,NA
"Freestone",2016,579.71
"Frio",2016,645.16
"Gaines",2016,316.74
"Galveston",2016,NA
"Garza",2016,NA
"Gillespie",2016,610.69
"Glasscock",2016,NA
"Goliad",2016,NA
"Gonzales",2016,264.9
"Gray",2016,580.2
"Grayson",2016,462.54
"Gregg",2016,455.33
"Grimes",2016,542.86
"Guadalupe",2016,488.07
"Hale",2016,734.6
"Hall",2016,NA
"Hamilton",2016,NA
"Hansford",2016,NA
"Hardeman",2016,0
"Hardin",2016,625
"Harris",2016,688.72
"Harrison",2016,466.2
"Hartley",2016,NA
"Haskell",2016,NA
"Hays",2016,444.71
"Hemphill",2016,0
"Henderson",2016,755.56
"Hidalgo",2016,783.58
"Hill",2016,457.83
"Hockley",2016,601.5
"Hood",2016,840.2
"Hopkins",2016,838.57
"Houston",2016,480
"Howard",2016,736.84
"Hudspeth",2016,NA
"Hunt",2016,630.55
"Hutchinson",2016,657.89
"Irion",2016,NA
"Jack",2016,736.84
"Jackson",2016,459.18
"Jasper",2016,341.46
"Jeff Davis",2016,NA
"Jefferson",2016,585.27
"Jim Hogg",2016,NA
"Jim Wells",2016,758.06
"Johnson",2016,600.38
"Jones",2016,581.4
"Karnes",2016,604.4
"Kaufman",2016,667.88
"Kendall",2016,489.13
"Kenedy",2016,NA
"Kent",2016,NA
"Kerr",2016,476.19
"Kimble",2016,NA
"King",2016,NA
"Kinney",2016,NA
"Kleberg",2016,504.81
"Knox",2016,NA
"La Salle",2016,NA
"Lamar",2016,374.25
"Lamb",2016,NA
"Lampasas",2016,733.94
"Lavaca",2016,258.62
"Lee",2016,NA
"Leon",2016,528.85
"Liberty",2016,548.95
"Limestone",2016,NA
"Lipscomb",2016,NA
"Live Oak",2016,NA
"Llano",2016,479.04
"Loving",2016,NA
"Lubbock",2016,691.44
"Lynn",2016,NA
"Madison",2016,440.25
"Marion",2016,NA
"Martin",2016,761.9
"Mason",2016,NA
"Matagorda",2016,362.32
"Maverick",2016,456.24
"McCulloch",2016,NA
"McLennan",2016,735.03
"McMullen",2016,NA
"Medina",2016,626.06
"Menard",2016,NA
"Midland",2016,818.65
"Milam",2016,521.17
"Mills",2016,0
"Mitchell",2016,0
"Montague",2016,NA
"Montgomery",2016,634.96
"Moore",2016,460.53
"Morris",2016,902.78
"Motley",2016,NA
"Nacogdoches",2016,434.78
"Navarro",2016,668.52
"Newton",2016,461.54
"Nolan",2016,439.02
"Nueces",2016,689.22
"Ochiltree",2016,410.26
"Oldham",2016,NA
"Orange",2016,402.5
"Palo Pinto",2016,535.71
"Panola",2016,410.45
"Parker",2016,632.33
"Parmer",2016,526.32
"Pecos",2016,306.12
"Polk",2016,386.85
"Potter",2016,669.14
"Presidio",2016,NA
"Rains",2016,705.88
"Randall",2016,731.71
"Reagan",2016,NA
"Real",2016,NA
"Red River",2016,NA
"Reeves",2016,619.05
"Refugio",2016,681.82
"Roberts",2016,NA
"Robertson",2016,721.15
"Rockwall",2016,679.25
"Runnels",2016,NA
"Rusk",2016,304.05
"Sabine",2016,576.92
"San Augustine",2016,NA
"San Jacinto",2016,564.78
"San Patricio",2016,648.6
"San Saba",2016,NA
"Schleicher",2016,0
"Scurry",2016,639.1
"Shackelford",2016,0
"Shelby",2016,331.63
"Sherman",2016,NA
"Smith",2016,708.16
"Somervell",2016,NA
"Starr",2016,735.06
"Stephens",2016,864.2
"Sterling",2016,NA
"Stonewall",2016,NA
"Sutton",2016,NA
"Swisher",2016,NA
"Tarrant",2016,709.12
"Taylor",2016,624.69
"Terrell",2016,NA
"Terry",2016,855.61
"Throckmorton",2016,NA
"Titus",2016,633.66
"Tom Green",2016,618.16
"Travis",2016,548.98
"Trinity",2016,714.29
"Tyler",2016,398.01
"Upshur",2016,434.78
"Upton",2016,NA
"Uvalde",2016,629.92
"Val Verde",2016,563.7
"Van Zandt",2016,586.37
"Victoria",2016,511.01
"Walker",2016,548.59
"Waller",2016,573.64
"Ward",2016,722.89
"Washington",2016,476.19
"Webb",2016,552.55
"Wharton",2016,633.8
"Wheeler",2016,NA
"Wichita",2016,356.27
"Wilbarger",2016,457.52
"Willacy",2016,582.19
"Williamson",2016,514.43
"Wilson",2016,559.7
"Winkler",2016,754.72
"Wise",2016,648.65
"Wood",2016,740.74
"Yoakum",2016,502.79
"Young",2016,533.33
"Zapata",2016,534.35
"Zavala",2016,607.73
"Anderson",2017,652.92
"Andrews",2017,436.36
"Angelina",2017,455.79
"Aransas",2017,438.6
"Archer",2017,NA
"Armstrong",2017,NA
"Atascosa",2017,682.45
"Austin",2017,523.08
"Bailey",2017,681.82
"Bandera",2017,468.75
"Bastrop",2017,632.45
"Baylor",2017,0
"Bee",2017,619.47
"Bell",2017,656.04
"Bexar",2017,672.7
"Blanco",2017,NA
"Borden",2017,NA
"Bosque",2017,710.66
"Bowie",2017,604.73
"Brazoria",2017,573.47
"Brazos",2017,497.96
"Brewster",2017,NA
"Briscoe",2017,NA
"Brooks",2017,NA
"Brown",2017,358.06
"Burleson",2017,518.87
"Burnet",2017,518.02
"Caldwell",2017,697.25
"Calhoun",2017,452.83
"Callahan",2017,548.78
"Cameron",2017,570.43
"Camp",2017,451.98
"Carson",2017,NA
"Cass",2017,535.12
"Castro",2017,588.24
"Chambers",2017,767.82
"Cherokee",2017,694.26
"Childress",2017,NA
"Clay",2017,NA
"Cochran",2017,NA
"Coke",2017,NA
"Coleman",2017,NA
"Collin",2017,612.21
"Collingsworth",2017,NA
"Colorado",2017,NA
"Comal",2017,391.89
"Comanche",2017,NA
"Concho",2017,NA
"Cooke",2017,283.55
"Coryell",2017,627.62
"Cottle",2017,NA
"Crane",2017,NA
"Crockett",2017,NA
"Crosby",2017,NA
"Culberson",2017,NA
"Dallam",2017,780.14
"Dallas",2017,704.88
"Dawson",2017,529.1
"Deaf Smith",2017,457.32
"Delta",2017,NA
"Denton",2017,551.46
"DeWitt",2017,432.9
"Dickens",2017,NA
"Dimmit",2017,NA
"Donley",2017,0
"Duval",2017,547.95
"Eastland",2017,528.85
"Ector",2017,654.31
"Edwards",2017,NA
"El Paso",2017,531.76
"Ellis",2017,723.98
"Erath",2017,503.14
"Falls",2017,815.22
"Fannin",2017,658.31
"Fayette",2017,400
"Fisher",2017,NA
"Floyd",2017,NA
"Foard",2017,NA
"Fort Bend",2017,514.26
"Franklin",2017,NA
"Freestone",2017,686.27
"Frio",2017,506.33
"Gaines",2017,432.8
"Galveston",2017,588.38
"Garza",2017,NA
"Gillespie",2017,544.75
"Glasscock",2017,NA
