"County","TDSHS_DEATHS_SUICIDE","Year"
"Fort Bend",51,2019
"Freestone",NA,2019
"Gaines",NA,2019
"Galveston",34,2019
"Gillespie",NA,2019
"Gonzales",NA,2019
"Gray",NA,2019
"Grayson",21,2019
"Gregg",14,2019
"Grimes",NA,2019
"Guadalupe",10,2019
"Hale",NA,2019
"Hamilton",NA,2019
"Hardin",NA,2019
"Harris",272,2019
"Harrison",NA,2019
"Hays",18,2019
"Hemphill",NA,2019
"Henderson",15,2019
"Hidalgo",38,2019
"Hill",NA,2019
"Hockley",NA,2019
"Hood",NA,2019
"Hopkins",NA,2019
"Houston",NA,2019
"Howard",NA,2019
"Hunt",10,2019
"Hutchinson",NA,2019
"Jack",NA,2019
"Jackson",NA,2019
"Jasper",NA,2019
"Jefferson",26,2019
"Jim Hogg",NA,2019
"Jim Wells",NA,2019
"Johnson",16,2019
"Jones",NA,2019
"Karnes",NA,2019
"Kaufman",11,2019
"Kendall",NA,2019
"Kerr",NA,2019
"Kimble",NA,2019
"Kinney",NA,2019
"Kleberg",NA,2019
"Lamar",NA,2019
"Lamb",NA,2019
"Lampasas",NA,2019
"Lavaca",NA,2019
"Liberty",14,2019
"Limestone",NA,2019
"Llano",NA,2019
"Loving",NA,2019
"Lubbock",29,2019
"Martin",NA,2019
"Matagorda",NA,2019
"McCulloch",NA,2019
"McLennan",29,2019
"Medina",NA,2019
"Menard",NA,2019
"Midland",18,2019
"Milam",NA,2019
"Mills",NA,2019
"Mitchell",NA,2019
"Montague",NA,2019
"Montgomery",52,2019
"Moore",NA,2019
"Nacogdoches",NA,2019
"Navarro",NA,2019
"Newton",NA,2019
"Nolan",NA,2019
"Nueces",38,2019
"Ochiltree",NA,2019
"Orange",NA,2019
"Palo Pinto",NA,2019
"Panola",NA,2019
"Parker",16,2019
"Pecos",NA,2019
"Polk",10,2019
"Potter",17,2019
"Presidio",NA,2019
"Rains",NA,2019
"Randall",21,2019
"Real",NA,2019
"Reeves",NA,2019
"Refugio",NA,2019
"Robertson",NA,2019
"Rockwall",12,2019
"Runnels",NA,2019
"Rusk",NA,2019
"Sabine",NA,2019
"San Augustine",NA,2019
"San Jacinto",NA,2019
"San Patricio",NA,2019
"Scurry",NA,2019
"Shelby",NA,2019
"Smith",36,2019
"Somervell",NA,2019
"Starr",NA,2019
"Stephens",NA,2019
"Swisher",NA,2019
"Tarrant",151,2019
"Taylor",12,2019
"Throckmorton",NA,2019
"Titus",NA,2019
"Tom Green",15,2019
"Travis",87,2019
"Trinity",NA,2019
"Upshur",NA,2019
"Uvalde",NA,2019
"Val Verde",NA,2019
"Van Zandt",NA,2019
"Victoria",15,2019
"Walker",NA,2019
"Ward",NA,2019
"Washington",NA,2019
"Webb",NA,2019
"Wharton",NA,2019
"Wheeler",NA,2019
"Wichita",NA,2019
"Wilbarger",NA,2019
"Willacy",NA,2019
"Williamson",48,2019
"Wilson",NA,2019
"Wise",NA,2019
"Wood",NA,2019
"Yoakum",NA,2019
"Young",NA,2019
"Zapata",NA,2019
"Zavala",NA,2019
"Anderson",NA,2020
"Andrews",NA,2020
"Angelina",10,2020
"Aransas",12,2020
"Archer",NA,2020
"Atascosa",NA,2020
"Austin",NA,2020
"Bandera",NA,2020
"Bastrop",12,2020
"Baylor",NA,2020
"Bee",NA,2020
"Bell",36,2020
"Bexar",129,2020
"Blanco",NA,2020
"Bosque",NA,2020
"Bowie",10,2020
"Brazoria",46,2020
"Brazos",14,2020
"Brewster",NA,2020
"Briscoe",NA,2020
"Brown",NA,2020
"Burleson",NA,2020
"Burnet",NA,2020
"Caldwell",NA,2020
"Calhoun",NA,2020
"Callahan",NA,2020
"Cameron",17,2020
"Camp",NA,2020
"Carson",NA,2020
"Cass",NA,2020
"Chambers",NA,2020
"Cherokee",NA,2020
"Childress",NA,2020
"Clay",NA,2020
"Coleman",NA,2020
"Collin",71,2020
"Colorado",NA,2020
"Comal",31,2020
"Comanche",NA,2020
"Cooke",NA,2020
"Coryell",NA,2020
"Crockett",NA,2020
"Dallam",NA,2020
"Dallas",149,2020
"Deaf Smith",NA,2020
"Denton",62,2020
"DeWitt",NA,2020
"Ector",21,2020
"Edwards",NA,2020
"El Paso",43,2020
"Ellis",11,2020
"Erath",NA,2020
"Fannin",NA,2020
"Fayette",NA,2020
"Fisher",NA,2020
"Fort Bend",44,2020
"Franklin",NA,2020
"Freestone",NA,2020
"Gaines",NA,2020
"Galveston",37,2020
"Gillespie",NA,2020
"Glasscock",NA,2020
"Goliad",NA,2020
"Gonzales",NA,2020
"Gray",NA,2020
"Grayson",12,2020
"Gregg",18,2020
"Grimes",NA,2020
"Guadalupe",18,2020
"Hale",NA,2020
"Hamilton",NA,2020
"Hardeman",NA,2020
"Hardin",NA,2020
"Harris",273,2020
"Harrison",10,2020
"Haskell",NA,2020
"Hays",16,2020
"Henderson",15,2020
"Hidalgo",26,2020
"Hill",NA,2020
"Hockley",NA,2020
"Hood",12,2020
"Hopkins",NA,2020
"Houston",NA,2020
"Howard",NA,2020
"Hudspeth",NA,2020
"Hunt",11,2020
"Hutchinson",NA,2020
"Jackson",NA,2020
"Jasper",NA,2020
"Jeff Davis",NA,2020
"Jefferson",16,2020
"Jim Wells",NA,2020
"Johnson",15,2020
"Jones",NA,2020
"Kaufman",12,2020
"Kendall",NA,2020
"Kerr",NA,2020
"Kinney",NA,2020
"Knox",NA,2020
"Lamar",NA,2020
"Lamb",NA,2020
"Lampasas",NA,2020
"Lavaca",NA,2020
"Lee",NA,2020
"Leon",NA,2020
"Liberty",12,2020
"Limestone",NA,2020
"Live Oak",NA,2020
"Llano",NA,2020
"Lubbock",37,2020
"Lynn",NA,2020
"Madison",NA,2020
