"","County Code","Population","ACS5Y2020_Hispanic_Percent","ACS5Y2020_Poverty_Percent","ACS5Y2020_GINI_Index","ACS5Y2020_Highschool_Percent","ACS5Y2020_GED_Percent","ACS5Y2020_Bachelors_Percent","ACS5Y2020_Masters_Percent","ACS5Y2020_Professional_Percent","ACS5Y2020_Doctorate_Percent","ACS5Y2020_SNAP_Percent","ACS5Y2020_Unemployment_Percent","ACS5Y2020_Median Household Income"
"Medina County, Texas","325",50458,0.528122398826747,0.11939214017314,0.4412,0.256545732065281,0.0639603146647881,0.133791241047317,0.0808383233532934,0.00760244217447458,0.00366913232358812,0.101521025946913,0.0302575202084898,67180
"Menard County, Texas","327",1981,0.354871277132761,0.189008731381613,0.4879,0.189028420356907,0.0654329147389293,0.152676801057502,0.0746860541969597,0.0257766027759418,0.0185062789160608,0.0530973451327434,0.0858050847457627,40341
"Midland County, Texas","329",166964,0.463399295656549,0.110880333288927,0.4629,0.185230816617256,0.0571458822623494,0.202835637007662,0.0675605436414738,0.0117044623262619,0.00561159665806799,0.0581677321827859,0.0326961770623742,88210
"Milam County, Texas","331",24895,0.27133962643101,0.161585989606776,0.4724,0.344109621544667,0.0654881955154823,0.111757029303595,0.0372523431011982,0.00901649068691423,0.00403369320204057,0.127310061601643,0.0632866513029605,52810
"Mills County, Texas","333",4520,0.238938053097345,0.0847496554892053,0.4641,0.247784997046663,0.0614294152392203,0.166863555818074,0.04873006497342,0.0109273479031305,0.0209686946249262,0.109144542772861,0.0242814667988107,53483
"Mitchell County, Texas","335",8903,0.406829158710547,0.099106644332775,0.454,0.351097766935635,0.0818164758866579,0.0831300431600676,0.0135109776693564,0.00262713454681929,0,0.107617360496014,0.019941348973607,50144
"Montague County, Texas","337",19850,0.114256926952141,0.124251267086469,0.4202,0.317729582707036,0.0493880180373631,0.124114236633026,0.0311359244148594,0.013671176007444,0.00608403120750125,0.0876834716017869,0.069713758079409,59127
"Montgomery County, Texas","339",607999,0.252447783631223,0.0884104541913845,0.4702,0.186345801463399,0.0447339515032387,0.243650101422428,0.0871529078199582,0.0187612639220191,0.0141790313215581,0.0647792169011982,0.04568569715893,88597
"Moore County, Texas","341",21494,0.576579510561087,0.11726659167604,0.3872,0.275908801020408,0.0361128826530612,0.0919961734693878,0.0348373724489796,0.00079719387755102,0.00183354591836735,0.0658639199187582,0.0203010497128144,55543
"Morris County, Texas","343",11988,0.106606606606607,0.145581474544526,0.4109,0.347857838364168,0.0720545277507303,0.070715676728335,0.0468597857838364,0.000486854917234664,0.0104673807205453,0.176421404682274,0.0570993528740008,46468
"Motley County, Texas","345",1269,0.133963750985028,0.0724980299448384,0.4243,0.263904034896401,0.0283533260632497,0.16793893129771,0.0479825517993457,0,0,0.117903930131004,0.0361635220125786,59286
"Nacogdoches County, Texas","347",64822,0.200641757428034,0.231413981926294,0.5237,0.24984056122449,0.0551658163265306,0.154947916666667,0.058328018707483,0.0151201105442177,0.0185746173469388,0.17903966251706,0.0744058321618883,47306
"Navarro County, Texas","349",51908,0.287893966247977,0.140854761343084,0.4505,0.237342054407611,0.0631187750854764,0.112828898468857,0.0425746989742827,0.00651107477330162,0.00457856399583767,0.140552209976139,0.0508609160815781,50466
"Newton County, Texas","351",12532,0.0410947973188637,0.239504974520747,0.4847,0.398477445744802,0.0326099306896944,0.0644244972162254,0.0161345301670265,0.00113623451880468,0.00124985797068515,0.139593908629442,0.103719325153374,38116
"Nolan County, Texas","353",14727,0.390439329123379,0.162251655629139,0.4955,0.2536354056902,0.0766069546891465,0.110853530031612,0.0455216016859852,0.00421496311907271,0.00252897787144362,0.174837779379957,0.0795060984791447,44700
"Nueces County, Texas","355",353594,0.646368433853516,0.171839876872872,0.4618,0.239273848971992,0.0544699676411756,0.142620762354893,0.0550661649392786,0.0128268824497661,0.00893431893099232,0.173660903384805,0.0597938630906377,59477
"Ochiltree County, Texas","357",10063,0.556295339362019,0.120240480961924,0.4082,0.268790443006471,0.0660361705657873,0.126099220175875,0.0499419279907085,0.00647088103534097,0.00580720092915215,0.094868238557559,0.0192498511609446,57413
"Oldham County, Texas","359",2251,0.234562416703687,0.121599111604664,0.4237,0.275704493526276,0.0373191165270373,0.17974105102818,0.0396039603960396,0.00380807311500381,0.0152322924600152,0.0200617283950617,0.0151821862348178,68077
"Orange County, Texas","361",85045,0.0851901934270092,0.119994767324319,0.4405,0.316973379223151,0.0436187399030695,0.123937627309124,0.032678935168926,0.00493432605183676,0.00609327807824682,0.13533098315707,0.0537249639679936,68756
"Palo Pinto County, Texas","363",28303,0.203229339645974,0.139005113900511,0.4395,0.301818557553213,0.0636495143624716,0.114899772680306,0.0497520148791073,0.00821450712957223,0.0018598884066956,0.115188288548589,0.0688271604938272,59796
"Panola County, Texas","365",22583,0.0912190585838905,0.135558767729696,0.4672,0.239567031820553,0.0625326030255608,0.100547730829421,0.0251043296817945,0.0060641627543036,0.00339071465832029,0.12900073295871,0.0280089303836006,54853
"Parker County, Texas","367",144803,0.132538690496744,0.0778558468942424,0.4225,0.217052915788828,0.0561578269140297,0.188263208492708,0.0814191331383338,0.0126511076111191,0.00695452964879625,0.0554954245793565,0.0432343972920805,88535
