County,"Dentist, Total Active Dentist (County Level File)","Population, All (County Level File)","Rate (per 100,000 population)",Source
"Terry County, TX",1,12183,8.21,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Throckmorton County, TX",0,1487,0.00,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Titus County, TX",13,32926,39.48,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Tom Green County, TX",53,120010,44.16,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Travis County, TX",937,1300503,72.05,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Trinity County, TX",1,14883,6.72,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Tyler County, TX",1,21591,4.63,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Upshur County, TX",6,42166,14.23,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Upton County, TX",0,3623,0.00,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Uvalde County, TX",9,26742,33.65,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Val Verde County, TX",9,49028,18.36,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Van Zandt County, TX",10,57533,17.38,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Victoria County, TX",47,91936,51.12,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Walker County, TX",22,72164,30.49,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Waller County, TX",11,57452,19.15,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Ward County, TX",2,12097,16.53,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Washington County, TX",15,35771,41.93,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Webb County, TX",66,277681,23.77,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Wharton County, TX",16,41685,38.38,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Wheeler County, TX",2,4946,40.44,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Wichita County, TX",71,133205,53.30,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Wilbarger County, TX",1,12552,7.97,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Willacy County, TX",1,21161,4.73,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Williamson County, TX",403,617855,65.23,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Wilson County, TX",13,52023,24.99,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Winkler County, TX",0,7887,0.00,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Wise County, TX",13,71084,18.29,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Wood County, TX",10,46291,21.60,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Yoakum County, TX",1,8702,11.49,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Young County, TX",8,17904,44.68,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Zapata County, TX",2,14172,14.11,ADA Masterfile 2019; Census County Pop. Estimates 2020
"Zavala County, TX",1,11840,8.45,ADA Masterfile 2019; Census County Pop. Estimates 2020
,,,,
,,,,
Note: Blank cells indicate that data are not available.,,,,
